source,event_index,prev_total,subscription,next_total,expected,diff,is_valid,message
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,8498.0,,,,N/A,数据不完整，无法校验
三联锻造,1,8498.0,2838.0,,11336.0,,N/A,数据不完整，无法校验
三联锻造,1,2838.0,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,8498.0,,,,N/A,数据不完整，无法校验
三联锻造,1,8498.0,81500000.0,,81508498.0,,N/A,数据不完整，无法校验
三联锻造,1,81500000.0,81500000.0,,163000000.0,,N/A,数据不完整，无法校验
三联锻造,1,81500000.0,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,3800.0,,,,N/A,数据不完整，无法校验
三联锻造,1,3800.0,100.0,,3900.0,,N/A,数据不完整，无法校验
三联锻造,1,100.0,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,8498.0,,,,N/A,数据不完整，无法校验
三联锻造,1,8498.0,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
三联锻造,1,,,,,,N/A,数据不完整，无法校验
